campaign,start,stop,channel,module,output,ra0,dec0,ra1,dec1,ra2,dec2,ra3,dec3
11,2016-09-24,2016-12-08,2,2,2,265.6254072440686,-24.738534824920055,265.90078339261834,-25.91509320074812,267.1154133884124,-25.676945584574934,266.8281602225502,-24.502233817996963
11,2016-09-24,2016-12-08,3,2,3,268.1320879052102,-24.23521403038387,268.43116283759457,-25.406861241017065,267.2217903768251,-25.65546939742275,266.9340204090325,-24.480860743183072
11,2016-09-24,2016-12-08,4,2,4,268.7386174229928,-26.589831602396334,268.4342170750659,-25.41869998774146,267.22473272534194,-25.6673383355232,267.5182654572895,-26.841366570243064
11,2016-09-24,2016-12-08,13,6,1,263.088924576086,-28.159445868936064,264.4253712913644,-27.925290669050824,264.68108417430284,-29.02167462966512,263.33039758184094,-29.257827188639016
11,2016-09-24,2016-12-08,14,6,2,265.7694612322427,-27.67638987372867,264.43885145025854,-27.922859749291128,264.69469858407143,-29.019217957685502,266.0389870439778,-28.76951264249194
11,2016-09-24,2016-12-08,15,6,3,266.3383164943019,-29.957236623871335,264.9795223841991,-30.210231031889414,264.71784083219995,-29.11430328603531,266.06343092313836,-28.864457927221874
11,2016-09-24,2016-12-08,16,6,4,263.59992908271704,-30.45084273466503,264.96574535911833,-30.212712577944924,264.7042002831724,-29.116759053807762,263.35217455199086,-29.352949115112335
11,2016-09-24,2016-12-08,21,8,1,262.45052559791895,-24.870513144186774,262.20915134231706,-23.688202362779577,263.4090186003632,-23.480028149066154,263.66069915447395,-24.660986882888064
11,2016-09-24,2016-12-08,22,8,2,261.97031270262784,-22.493469163476465,262.20674402346185,-23.676251569148583,263.4064987393717,-23.468091702333098,263.1593470436188,-22.286713140335696
11,2016-09-24,2016-12-08,23,8,3,264.44704910022,-22.053101539890037,264.7047952707664,-23.23185471563123,263.5091410084429,-23.44935252856121,263.2617710510618,-22.26806523864264
11,2016-09-24,2016-12-08,24,8,4,264.96907564954756,-24.42220681996297,264.70741989809574,-23.243765441794043,263.51166366872536,-23.461288416346147,263.763524688574,-24.64217945042573
11,2016-09-24,2016-12-08,25,9,1,264.38724705054415,-21.576456422111736,263.1166190495581,-21.8051763693718,262.89421326058977,-20.705334300128207,264.1564832370148,-20.478734598631554
11,2016-09-24,2016-12-08,26,9,2,261.8289926729195,-22.025698502501225,263.1037601266398,-21.807434438221087,262.88143485160845,-20.707577404992886,261.61542019036295,-20.924836848105148
